timestamp,annotator,qid,true_label,label
2025-12-01T22:18:08.356911,Ruthtest2,3913,1,1
2025-12-01T22:18:08.813729,Ruthtest2,360,0,0
2025-12-01T22:18:09.596789,Ruthtest2,2793,1,1
2025-12-01T22:18:09.744311,Ruthtest2,3078,0,1
2025-12-01T22:18:12.487802,Ruthtest2,3078,0,0
2025-12-01T22:18:13.119128,Ruthtest2,4379,0,0
2025-12-01T22:18:18.004257,Ruthtest2,3056,0,1
2025-12-01T22:18:18.946649,Ruthtest2,1669,1,1
2025-12-01T22:18:20.868963,Ruthtest2,298,1,1
2025-12-01T22:18:21.742527,Ruthtest2,2989,1,1
2025-12-01T22:18:25.041957,Ruthtest2,809,0,1
