timestamp,annotator,qid,true_label,label
2025-12-01T13:19:04.467701,testrha,3913,1,1
2025-12-01T13:19:05.061849,testrha,360,0,1
2025-12-01T13:19:05.529586,testrha,2793,1,1
2025-12-01T13:19:05.931279,testrha,3078,0,1
2025-12-01T13:19:06.546271,testrha,4379,0,1
2025-12-01T13:19:09.323756,testrha,3056,0,0
2025-12-01T13:19:09.960414,testrha,1669,1,0
2025-12-01T13:19:10.582001,testrha,298,1,0
2025-12-01T13:19:11.212717,testrha,2989,1,0
2025-12-01T13:19:11.847912,testrha,809,0,0
2025-12-01T13:19:29.868295,testrha,3066,1,0
2025-12-01T13:19:31.363228,testrha,713,0,0
2025-12-01T13:19:32.152075,testrha,2989,1,0
2025-12-01T13:19:32.728939,testrha,2155,0,0
2025-12-01T13:19:33.012305,testrha,232,0,0
2025-12-01T13:19:35.486252,testrha,120,0,1
2025-12-01T13:19:37.130991,testrha,1811,1,0
2025-12-01T13:19:38.913243,testrha,360,1,0
2025-12-01T13:19:39.754642,testrha,3913,1,0
2025-12-01T13:19:40.446660,testrha,1949,0,0
